SURVEY_DATE,SEASON,SKY_CONDITION_CODE,BUILDING_NAME,BUILDING_CODE,FACADE,SURVEY_START_TIME,SURVEY_END_TIME,SURVEYOR,EVIDENCE_FOUND,TYPE_OF_COLLISION,COLLISION_TYPE_CATEGORY,GROUND_OR_WINDOW,NUMBER_OF_FEATHERS,SPECIES_ID,CODE,TAXONOMIC_GROUPING
1/22/20,Winter,6,Medical Sciences Building,MSB,MSB7,13:14,13:23,JO,N,none,n,n,n,NA,2020-01-22 MSB7 NA,
1/22/20,Winter,6,Engineering Office Wing,EOW,EOW1,13:27,13:35,JO,N,none,n,n,n,NA,2020-01-22 EOW1 NA,
1/22/20,Winter,6,Engineering Office Wing,EOW,EOW2,13:27,13:35,JO,N,none,n,n,n,NA,2020-01-22 EOW2 NA,
1/22/20,Winter,6,Engineering Office Wing,EOW,EOW3,13:27,13:35,JO,N,none,n,n,n,NA,2020-01-22 EOW3 NA,
1/22/20,Winter,6,Engineering Office Wing,EOW,EOW4,13:27,13:35,JO,N,none,n,n,n,NA,2020-01-22 EOW4 NA,
1/22/20,Winter,6,Engineering Office Wing,EOW,EOW5,13:27,13:35,JO,N,none,n,n,n,NA,2020-01-22 EOW5 NA,
1/22/20,Winter,6,Engineering Office Wing,EOW,EOW6,13:27,13:35,JO,N,none,n,n,n,NA,2020-01-22 EOW6 NA,
1/22/20,Winter,6,University Centre,UVC,UVC1,13:41,13:55,JO,N,none,n,n,n,NA,2020-01-22 UVC1 NA,
1/22/20,Winter,6,University Centre,UVC,UVC10,13:41,13:55,JO,N,none,n,n,n,NA,2020-01-22 UVC10 NA,
1/22/20,Winter,6,University Centre,UVC,UVC11,13:41,13:55,JO,N,none,n,n,n,NA,2020-01-22 UVC11 NA,
1/22/20,Winter,6,University Centre,UVC,UVC2,13:41,13:55,JO,N,none,n,n,n,NA,2020-01-22 UVC2 NA,
1/22/20,Winter,6,University Centre,UVC,UVC3,13:41,13:55,JO,N,none,n,n,n,NA,2020-01-22 UVC3 NA,
1/22/20,Winter,6,University Centre,UVC,UVC4,13:41,13:55,JO,N,none,n,n,n,NA,2020-01-22 UVC4 NA,
1/22/20,Winter,6,University Centre,UVC,UVC5,13:41,13:55,JO,N,none,n,n,n,NA,2020-01-22 UVC5 NA,
1/22/20,Winter,6,University Centre,UVC,UVC6,13:41,13:55,JO,N,none,n,n,n,NA,2020-01-22 UVC6 NA,
1/22/20,Winter,6,University Centre,UVC,UVC7,13:41,13:55,JO,N,none,n,n,n,NA,2020-01-22 UVC7 NA,
1/22/20,Winter,6,University Centre,UVC,UVC8,13:41,13:55,JO,N,none,n,n,n,NA,2020-01-22 UVC8 NA,
1/22/20,Winter,6,University Centre,UVC,UVC9,13:41,13:55,JO,N,none,n,n,n,NA,2020-01-22 UVC9 NA,
1/22/20,Winter,6,Michael Williams Building,MWB,MWB1,13:59,14:10,JO,N,none,n,n,n,NA,2020-01-22 MWB1 NA,
1/22/20,Winter,6,Michael Williams Building,MWB,MWB10,13:59,14:10,JO,N,none,n,n,n,NA,2020-01-22 MWB10 NA,
1/22/20,Winter,6,Michael Williams Building,MWB,MWB2,13:59,14:10,JO,N,none,n,n,n,NA,2020-01-22 MWB2 NA,
1/22/20,Winter,6,Michael Williams Building,MWB,MWB3,13:59,14:10,JO,N,none,n,n,n,NA,2020-01-22 MWB3 NA,
1/22/20,Winter,6,Michael Williams Building,MWB,MWB4,13:59,14:10,JO,N,none,n,n,n,NA,2020-01-22 MWB4 NA,
1/22/20,Winter,6,Michael Williams Building,MWB,MWB5,13:59,14:10,JO,N,none,n,n,n,NA,2020-01-22 MWB5 NA,
